	2.9927027 114.0171871	2.9441971 114.9262067	2.8966140 116.0831260	2.8501359 117.4796663	2.8049178 119.1063019	2.7610863 120.9525431	2.6779450 125.2587393	2.6387494 127.6953448	2.6011732 130.3053065	2.5652174 133.0771032	2.5308667 135.9995584	2.4980915 139.0619438	2.4668517 142.2540525	2.4370986 145.5662464	2.4087776 148.9894809	2.3818299 152.5153130	2.3561945 156.1358949	2.3086114 163.6327897	2.2865399 167.4962042	2.2655346 171.4285122	2.2264920 179.4793357	2.2083451 183.5886581	2.1910458 187.7484242	2.1745457 191.9549395	2.1587989 196.2048180	2.1437625 200.4949559	2.1293956 204.8225067	2.1156602 209.1848591	2.1025204 213.5796159	2.0899424 218.0045754	2.0778948 222.4577136	2.0663480 226.9371686	2.0552743 231.4412264	2.0446477 235.9683073
	2.9824314 107.6668882	2.9316230 109.0242731	2.8822716 110.6218000	2.8344548 112.4266405	2.7882301 114.4200712	2.7436442 116.5906423	2.6595221 121.4308524	2.6200194 124.0858804	2.5822209 126.8875964	2.5461082 129.8282407	2.5116510 132.8998958	2.4788085 136.0946166	2.4475317 139.4045566	2.4177651 142.8220729	2.3894487 146.3398073	2.3625198 149.9507433	2.3369140 153.6482425	2.2894125 161.2783719	2.2673894 165.1997295	2.2464358 169.1850910	2.2075023 177.3294925	2.1894116 181.4802331	2.1721687 185.6783359	2.1557248 189.9204215	2.1400339 194.2033796	2.1250527 198.5243483	2.1107402 202.8806947	2.0970582 207.2699957	2.0839706 211.6900210	2.0714438 216.1387172	2.0594461 220.6141921	2.0479479 225.1147020	2.0369216 229.6386381	2.0263412 234.1845156
	2.9721602 102.1079387	2.9190489 103.8113304	2.8679291 105.7557029	2.8187737 107.8880936	2.7715423 110.1808971	2.7262022 112.6202897	2.6410992 117.9117327	2.6012893 120.7545039	2.5632686 123.7226154	2.5269990 126.8110331	2.4924354 130.0142768	2.4595255 133.3265357	2.4282116 136.7418099	2.3984315 140.2540445	2.3701199 143.8572423	2.3432098 147.5455528	2.3176335 151.3133362	2.2702136 159.0660713	2.2482390 163.0411220	2.2273370 167.0758633	2.1885127 175.3079221	2.1704781 179.4977122	2.1532916 183.7321124	2.1369040 188.0080182	2.1212690 192.3225613	2.1063429 196.6730926	2.0920847 201.0571675	2.0784561 205.4725294	2.0654208 209.9170964	2.0529451 214.3889465	2.0409973 218.8863057	2.0295478 223.4075352	2.0185689 227.9511209	2.0080346 232.5156628
	2.9618889 97.2052723	2.9064748 99.1774782	2.8535867 101.3965664	2.8030927 103.7931999	2.7548546 106.3316003	2.7087602 108.9948617	2.6226762 114.6692482	2.5825593 117.6740411	2.5443163 120.7871076	2.5078898 124.0053518	2.4732197 127.3250952	2.4402425 130.7421496	2.4088916 134.2519515	2.3790980 137.8497038	2.3507911 141.5305044	2.3238997 145.2894529	2.2983529 149.1217330	2.2510147 156.9877962	2.2290885 161.0128340	2.2082382 165.0937572	2.1695231 173.4083410	2.1515446 177.6351409	2.1344145 181.9040926	2.1180831 186.2123319	2.1025040 190.5572023	2.0876331 194.9362423	2.0734293 199.3471728	2.0598540 203.7878852	2.0468710 208.2564286	2.0344464 212.7509986	2.0225485 217.2699256	2.0111477 221.8116652	2.0002162 226.3747878	1.9897281 230.9579694
	2.9516176 92.8530576	2.8939007 95.0351585	2.8392442 97.4728977	2.7874116 100.0837046	2.7381668 102.8244914	2.6913181 105.6749888	2.6042533 111.6757060	2.5638293 114.8208758	2.5253640 118.0607127	2.4887805 121.3934614	2.4540040 124.8167503	2.4209595 128.3276103	2.3895716 131.9225849	2.3597645 135.5978671	2.3314623 139.3494313	2.3045897 143.1731487	2.2790724 147.0648796	2.2318158 155.0361860	2.2099380 159.1079881	2.1891393 163.2323194	2.1505335 171.6250016	2.1326111 175.8870672	2.1155374 180.1890892	2.0992623 184.5284133	2.0837390 188.9025683	2.0689233 193.3092575	2.0547738 197.7463483	2.0412519 202.2118622	2.0283212 206.7039650	2.0159477 211.2209564	2.0040997 215.7612604	1.9927476 220.3234163	1.9818636 224.9060703	1.9714216 229.5079666
	2.9413463 88.9672025	2.8813266 91.3137599	2.8249018 93.9261823	2.7717306 96.7112603	2.7214791 99.6194876	2.6738761 102.6272048	2.5858304 108.9071182	2.5450992 112.1743921	2.5064117 115.5255366	2.4696713 118.9596810	2.4347883 122.4753766	2.4016765 126.0705531	2.3702515 129.7425969	2.3404309 133.4884728	2.3121335 137.3048522	2.2852796 141.1882292	2.2597919 145.1350180	2.2126169 153.2045387	2.1907875 157.3203127	2.1700405 161.4856569	2.1315439 169.9526447	2.1136776 174.2484983	2.0966602 178.5823489	2.0804415 182.9517247	2.0649740 187.3543171	2.0502135 191.7879737	2.0361184 196.2506910	2.0226498 200.7406059	2.0097714 205.2559871	1.9974490 209.7952268	1.9856510 214.3568324	1.9743475 218.9394181	1.9635109 223.5416975	1.9531151 228.1624762
	2.9310750 85.4800512	2.8687525 87.9557137	2.8105594 90.7080737	2.7560495 93.6354138	2.7047913 96.6826614	2.6564341 99.8228873	2.5674074 106.3426095	2.5263692 109.7165199	2.4874594 113.1657953	2.4505621 116.6901024	2.4155727 120.2886159	2.3823935 123.9599106	2.3509315 127.7020028	2.3210974 131.5124516	2.2928046 135.3884769	2.2659696 139.3270723	2.2405114 143.3251024	2.1934180 151.4867465	2.1716370 155.6440842	2.1509417 159.8483858	2.1125543 168.3864568	2.0947441 172.7148622	2.0777831 177.0795168	2.0616206 181.4781077	2.0462090 185.9084684	2.0315037 190.3685731	2.0174629 194.8565319	2.0040477 199.3705832	1.9912215 203.9090872	1.9789503 208.4705181	1.9672022 213.0534572	1.9559474 217.6565856	1.9451582 222.2786772	1.9348086 226.9185922
	2.9208038 82.3365629	2.8561784 84.9136226	2.7962169 87.7782839	2.7403684 90.8220650	2.6881036 93.9851093	2.6389920 97.2374185	2.5489845 103.9639348	2.5076391 107.4313606	2.4685071 110.9675201	2.4314529 114.5723533	2.3963570 118.2454248	2.3631104 121.9857536	2.3316115 125.7918141	2.3017639 129.6616142	2.2734758 133.5928002	2.2466595 137.5827618	2.2212309 141.6287273	2.1742191 149.8772397	2.1524865 154.0740772	2.1318429 158.3155861	2.0935647 166.9220334	2.0758106 171.2819733	2.0589060 175.6766049	2.0427998 180.1037538	2.0274440 184.5613769	2.0127939 189.0475597	1.9988075 193.5605116	1.9854456 198.0985607	1.9726717 202.6601479	1.9604516 207.2438202	1.9487534 211.8482246	1.9375473 216.4721015	1.9268056 221.1142787	1.9165021 225.7736653
	2.9105325 79.4915092	2.8436043 82.1481158	2.7818745 85.1029779	2.7246874 88.2422733	2.6714159 91.5020619	2.6215500 94.8495157	2.5305616 101.7550847	2.4889091 105.3048773	2.4495548 108.9183107	2.4123437 112.5953980	2.3771413 116.3359123	2.3438274 120.1391564	2.3122914 124.0039246	2.2824303 127.9285551	2.2541470 131.9110188	2.2273495 135.9490157	2.2019504 140.0400644	2.1550202 148.3709370	2.1333361 152.6055201	2.1127441 156.8827614	2.0745751 165.5553454	2.0568771 169.9460019	2.0400289 174.3699645	2.0239789 178.8251784	2.0086790 183.3097082	1.9940841 187.8217362	1.9801520 192.3595593	1.9668435 196.9215844	1.9541219 201.5063233	1.9419529 206.1123874	1.9303047 210.7384820	1.9191472 215.3834004	1.9084529 220.0460182	1.8981956 224.7252881
	2.9002612 76.9073871	2.8310302 79.6262257	2.7675321 82.6535383	2.7090063 85.8713243	2.6547281 89.2121773	2.6041079 92.6406916	2.5121386 99.7019604	2.4701790 103.3246374	2.4306025 107.0071287	2.3932344 110.7493693	2.3579257 114.5511999	2.3245444 118.4120803	2.2929714 122.3310128	2.2630968 126.3065685	2.2348182 130.3369594	2.2080394 134.4201234	2.1826698 138.5538077	2.1358213 146.9632021	2.1141856 151.2340556	2.0936452 155.5458037	2.0555855 164.2827100	2.0379436 168.7034474	2.0211518 173.1562605	2.0051581 177.6391977	1.9899140 182.1504168	1.9753743 186.6881847	1.9614966 191.2508744	1.9482415 195.8369619	1.9355721 200.4450218	1.9234543 205.0737221	1.9118559 209.7218196	1.9007471 214.3881544	1.8901002 219.0716448	1.8798891 223.7712822
	2.8899899 74.5528436	2.8184561 77.3201435	2.7531896 80.4056038	2.6933253 83.6879922	2.6380404 87.0969745	2.5866659 90.5948168	2.4937157 97.7921033	2.4514490 101.4795964	2.4116502 105.2241224	2.3741252 109.0254249	2.3387100 112.8833032	2.3052614 116.7972737	2.2736514 120.7664564	2.2437633 124.7895758	2.2154894 128.8650153	2.1887293 132.9908902	2.1633893 137.1651241	2.1166224 145.6498047	2.0950351 149.9557063	2.0745464 154.3009620	2.0365959 163.1007639	2.0190101 167.5511141	2.0022747 172.0324497	1.9863373 176.5429079	1.9711491 181.0807273	1.9566645 185.6442478	1.9428411 190.2319090	1.9296394 194.8422473	1.9170223 199.4738919	1.9049556 204.1255611	1.8934071 208.7960568	1.8823471 213.4842607	1.8717475 218.1891288	1.8615826 222.9096871
